date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:40	21775/21775	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2007:16:39%20GMT	https://tema5.dokuzyazilim.com/index.php?p=Products&search_form=1	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/index106a.html	(from https://tema5.dokuzyazilim.com/)
10:16:40	88632/88632	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Oct%202021%2006:40:59%20GMT	https://tema5.dokuzyazilim.com/u/tema5/banners/a/b/a/banner3-1633502459.jpg	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/u/tema5/banners/a/b/a/banner3-1633502459.jpg	(from https://tema5.dokuzyazilim.com/)
10:16:41	53668/53668	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Oct%202021%2006:40:51%20GMT	https://tema5.dokuzyazilim.com/u/tema5/banners/a/b/a/banner2-2-1633502451.jpg	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/u/tema5/banners/a/b/a/banner2-2-1633502451.jpg	(from https://tema5.dokuzyazilim.com/)
10:16:41	73078/73078	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Oct%202021%2006:40:31%20GMT	https://tema5.dokuzyazilim.com/u/tema5/banners/a/b/a/banner1-2-1633502431.jpg	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/u/tema5/banners/a/b/a/banner1-2-1633502431.jpg	(from https://tema5.dokuzyazilim.com/)
10:16:41	34935/34935	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2007:16:40%20GMT	https://tema5.dokuzyazilim.com/vitrindekiler	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/vitrindekiler.html	(from https://tema5.dokuzyazilim.com/)
10:16:41	51604/51604	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2007:16:41%20GMT	https://tema5.dokuzyazilim.com/sun-series-2-5mm-kaydirmaz-yoga-mati-gumus-gri	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/sun-series-2-5mm-kaydirmaz-yoga-mati-gumus-gri.html	(from https://tema5.dokuzyazilim.com/)
10:16:41	95/95	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202019%2010:55:38%20GMT	https://tema5.dokuzyazilim.com/i/1x1.png	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/i/1x1.png	(from https://tema5.dokuzyazilim.com/)
10:16:42	70060/70060	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2007:16:41%20GMT	https://tema5.dokuzyazilim.com/-25	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/-25.html	(from https://tema5.dokuzyazilim.com/)
10:16:42	38242/38242	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2007:16:41%20GMT	https://tema5.dokuzyazilim.com/meditasyon-minderi-siyah-10-adet	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/meditasyon-minderi-siyah-10-adet.html	(from https://tema5.dokuzyazilim.com/)
10:16:42	68667/68667	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2007:16:41%20GMT	https://tema5.dokuzyazilim.com/-2	C:/Users/abdul/Desktop/HTTRACK/site6/site/tema5.dokuzyazilim.com/-2.html	(from https://tema5.dokuzyazilim.com/)
